Title,Platform,Genres,Rating,Wishlist,Plays,Backlogs,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year,Release_Year,Publisher
Mega Man X7,PS2,Platform,1.4,113.0,1300.0,385,0.58,0.22,0.17,0.14,0.06,2003.0,2003.0,Capcom
Final Fantasy I & II: Dawn of Souls,GBA,Rpg,3.4,63.0,1100.0,207,1.19,0.64,0.24,0.29,0.02,2004.0,2004.0,Nintendo
Mega Man ZX,DS,Platform,3.7,159.0,1300.0,540,0.3,0.18,0.0,0.1,0.02,2006.0,2006.0,Capcom
Mega Man ZX,DS,Shooter,3.7,159.0,1300.0,540,0.3,0.18,0.0,0.1,0.02,2006.0,2006.0,Capcom
Silent Hill 2: Restless Dreams,XB,Adventure,4.5,81.0,514.0,130,0.28,0.21,0.06,0.0,0.01,2001.0,2001.0,Konami Digital Entertainment
Quake II,PS,Shooter,3.4,162.0,1500.0,469,0.41,0.23,0.16,0.0,0.03,1998.0,1997.0,Activision
Quake II,N64,Shooter,3.4,162.0,1500.0,469,0.3,0.24,0.06,0.0,0.0,1999.0,1997.0,Activision
NBA Jam,GEN,Sport,3.6,23.0,847.0,64,2.05,1.75,0.25,0.0,0.05,1992.0,1993.0,Arena Entertainment
NBA Jam,SNES,Sport,3.6,23.0,847.0,64,1.39,1.19,0.16,0.0,0.03,1994.0,1993.0,Acclaim Entertainment
NBA Jam,Wii,Sport,3.6,23.0,847.0,64,0.43,0.38,0.03,0.0,0.03,2010.0,1993.0,Electronic Arts
NBA Jam,PS2,Sport,3.6,23.0,847.0,64,0.41,0.2,0.16,0.0,0.05,2003.0,1993.0,Acclaim Entertainment
NBA Jam,X360,Sport,3.6,23.0,847.0,64,0.4,0.27,0.1,0.0,0.03,2010.0,1993.0,Electronic Arts
NBA Jam,PS3,Sport,3.6,23.0,847.0,64,0.4,0.22,0.12,0.0,0.06,2010.0,1993.0,Electronic Arts
NBA Jam,XB,Sport,3.6,23.0,847.0,64,0.14,0.1,0.03,0.0,0.0,2003.0,1993.0,Acclaim Entertainment
